Lifecycle;Kurzname;ALM-ID;Name;Kurzbeschreibung;ADM Org. Einheit;Applikationsverantwortlicher (ADM);Letzte Žnderung
Geplant;Account Information API;ITR-4436;Account Information API;Vertragsdatenabfrage zur gegebenen Authentifizierung (GKP Benutzerkennung) / Gesch„ftskundenaufschaltung aktiver Abrechnungsnummern und Kundenkennungen;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Bestellen;ITR-3664;Bestellen;Bestellen von Versandmaterial;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Externer Rahmen;ITR-4282;Externer Rahmen;"Externer Rahmen - Header, Footer fr Kunden-Desktop; Header inkl. berechtigungsspezifischer Navigation";Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;GKP - Kommunikation;ITR-4283;GKP - Kommunikation;GKP - Kommunikation;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Gefahrgut;ITR-3663;Gefahrgut;Gefahrgut;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;RP-FE;ITR-3670;Responseplus Frontend;Responseplus Frontend;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Rechnungs-Center;ITR-3666;Rechnungs-Center;Rechnungs-Center;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Reporting-Center;ITR-3665;Reporting-Center;Reporting-Center;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;SSO;ITR-3658;SSO;SSO - IAM fr GK Kunden P&P;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;Usage Logging;ITR-3662;Usage Logging;Usage Logging;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
In Produktion;VBKVS;ITR-3661;Verwaltung Benutzerdaten und Kunden-/Vertragsdatenspeicher;Verwaltung Benutzerdaten und Kunden-/Vertragsdatenspeicher;Abt 1230, ADM Business Kunden Paket (00057834);;17.08.2022
Ausser Produktion;Handyporto;ICTO-607;HANDYPORTO;Untersttzung der Frankierart HANDYPORTO von der Erzeugung bis zur Prfung im BZ;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Schickel, M., SNL IT P&P, 1130, BN;17.08.2022
Ausser Produktion;Internet DP;ICTO-76;Internet Markenauftritt Deutsche Post;Markenauftritt im Internet von Deutsche Post (www.deutschepost.de);Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;17.08.2022
In Produktion;Internet P&P;ICTO-894;Internet Markenauftritt Post und Paket;Der Markenauftritt von Deutsche Post und DHL Paket Deutschland im Internet (www.dp.de/www.dhl.de);Abt 1110, ADM Endkunden Paket (00057829);Notarp,C., SNL IT P&P,Abt 1110,BN;07.09.2022
Ausser Produktion;DHL Internet;APP-2183;DHL Internet;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Notarp,C., SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;Internet DP_;ITR-3400;Internet Markenauftritt Deutsche Post_;Markenauftritt im Internet von Deutsche Post (www.deutschepost.de);Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;17.08.2022
Ausser Produktion;MVP;APP-4303;Marketing-Vertriebs-Portal;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
In Produktion;KID;ICTO-1190;Kundenidentifikation;Identifizierung registrierter Kunden auf Basis eines Paketlabels oder elektronischer Sendungsauftragsdaten;Abt 1110, ADM Endkunden Paket (00057829);Khn,W.,SNL IT P&P,Abt 1110,BN;30.08.2022
